Category;Metric;region;country;item type;sales channel;order priority;order date;order id;ship date;units sold;unit price;unit cost;total revenue;total cost;total profit
Cardinalities;Num rows;100 000,0000;100 000,0000;100 000,0000;100 000,0000;100 000,0000;100 000,0000;100 000,0000;100 000,0000;100 000,0000;100 000,0000;100 000,0000;100 000,0000;100 000,0000;100 000,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;% Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;Cardinality;7,0000;22,0000;7,0000;2,0000;1,0000;3,0000;100 000,0000;3,0000;9 998,0000;12,0000;12,0000;68 312,0000;68 248,0000;68 269,0000
Cardinalities;Uniqueness;0,0070;0,0220;0,0070;0,0020;0,0010;0,0030;100,0000;0,0030;9,9980;0,0120;0,0120;68,3120;68,2480;68,2690
Data type info;Data type;String;String;String;String;String;String;Numeric;String;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
Data type info;Minimum;4,0000;4,0000;4,0000;6,0000;1,0000;8,0000;100 008 904,0000;8,0000;1,0000;9,3300;6,9200;18,6600;13,8400;4,8200
Data type info;Maximum;33,0000;32,0000;15,0000;7,0000;1,0000;10,0000;999 996 459,0000;10,0000;10 000,0000;668,2700;524,9600;6 682 700,0000;5 249 075,0400;1 738 700,0000
Data type info;Average;15,0000;8,0000;8,0000;6,0000;1,0000;8,0000;550 395 554,0000;8,0000;5 001,0000;266,7040;188,0197;1 336 066,7307;941 975,4934;394 091,2373
Data type info;Median;18,0000;7,0000;9,0000;6,0000;1,0000;9,0000;547 718 942,0000;9,0000;5 007,0000;205,7000;117,1100;789 895,1400;467 937,4100;283 665,1800
Data type info;# Digits;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;9,0000;0,0000;5,0000;3,0000;3,0000;7,0000;7,0000;7,0000
Data type info;# Decimals;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,0000;2,0000;2,0000;2,0000;2,0000
Histogram;Number of classes;18,0000;18,0000;18,0000;18,0000;18,0000;18,0000;18,0000;18,0000;18,0000;18,0000;18,0000;18,0000;18,0000;18,0000
Histogram;Class range;1,6111;1,5556;0,6111;0,0556;0,0000;0,1111;49 999 308,6111;0,1111;555,5000;36,6078;28,7800;371 260,0744;291 614,5111;96 594,1767
Histogram;Values;[12580, 0, 0, 0, 0, 0, 26019, 8113, 25877, 0, 10731, 0, 2133, 0, 0, 0, 0, 14547];[1041, 34947, 1071, 1615, 1041, 1112, 6484, 14671, 2179, 16827, 0, 574, 1085, 0, 11850, 545, 4958, 0];[33313, 0, 0, 0, 8426, 8364, 0, 0, 8304, 0, 0, 0, 8282, 0, 24991, 0, 8320, 0];[0, 0, 0, 0, 50054, 0, 0, 0, 0, 0, 0, 0, 0, 49946, 0, 0, 0, 0];[0, 0, 0, 0, 0, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 16423, 0, 61085, 0, 0, 22492, 0, 0, 0, 0, 0, 0, 0, 0, 0];[5505, 5464, 5486, 5448, 5586, 5443, 5595, 5511, 5611, 5612, 5679, 5558, 5671, 5415, 5864, 5568, 5503, 5481];[0, 0, 0, 0, 0, 0, 0, 0, 16494, 0, 0, 0, 0, 0, 60954, 22552, 0, 0];[5653, 5488, 5514, 5541, 5607, 5485, 5543, 5418, 5666, 5588, 5598, 5530, 5644, 5523, 5566, 5571, 5549, 5516];[16690, 0, 8421, 0, 16622, 8304, 0, 8262, 0, 16704, 16590, 0, 0, 0, 0, 0, 8407, 0];[8407, 16729, 8320, 0, 0, 0, 8282, 16704, 16520, 0, 0, 0, 16668, 0, 0, 0, 8370, 0];[949, 5590, 2383, 753, 2439, 910, 4407, 30517, 1002, 2415, 2476, 878, 922, 17545, 12567, 3441, 1744, 9062];[17698, 3200, 917, 1231, 11249, 1681, 616, 2504, 1632, 926, 2563, 933, 4087, 1691, 38186, 7250, 983, 2653];[8528, 903, 10492, 981, 8607, 1571, 520, 5077, 1657, 2507, 4064, 14900, 1645, 963, 3395, 8048, 997, 25145]
Dependencies;isCandidateKey;false;false;false;false;false;false;true;false;false;false;false;false;false;false
