Category;Metric;region;country;item type;sales channel;order priority;order date;order id;ship date;units sold;unit price;unit cost;total revenue;total cost;total profit
Cardinalities;# Rows;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;% Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;Cardinality;7,0000;22,0000;7,0000;2,0000;1,0000;3,0000;1 282 048,0000;3,0000;10 000,0000;12,0000;12,0000;119 952,0000;119 785,0000;119 830,0000
Cardinalities;Uniqueness;0,0005;0,0015;0,0005;0,0001;0,0001;0,0002;85,4699;0,0002;0,6667;0,0008;0,0008;7,9968;7,9857;7,9887
Data type info;Data type;String;String;String;String;String;String;Numeric;String;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
Data type info;Minimum;4,0000;4,0000;4,0000;6,0000;1,0000;8,0000;100 001 180,0000;8,0000;1,0000;9,3300;6,9200;9,3300;6,9200;2,4100
Data type info;Maximum;33,0000;32,0000;15,0000;7,0000;1,0000;10,0000;999 999 892,0000;10,0000;10 000,0000;668,2700;524,9600;6 682 700,0000;5 249 600,0000;1 738 700,0000
Data type info;Average;15,0000;8,0000;8,0000;6,0000;1,0000;8,0000;550 068 059,0000;8,0000;4 999,0000;266,0532;187,5496;1 329 887,9339;937 487,9976;392 399,9363
Data type info;Median;18,0000;7,0000;9,0000;7,0000;1,0000;9,0000;549 792 182,0000;9,0000;4 998,0000;154,0600;97,4400;785 329,2600;467 357,4900;281 370,4100
Data type info;# Digits;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;9,0000;0,0000;5,0000;3,0000;3,0000;7,0000;7,0000;7,0000
Data type info;# Decimals;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,0000;2,0000;2,0000;2,0000;2,0000
Histogram;# Classes;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000
Histogram;Class range;1,3182;1,2727;0,5000;0,0455;0,0000;0,0909;40 909 032,3636;0,0909;454,5000;29,9518;23,5473;303 758,6668;238 617,8673;79 031,7086
Histogram;Values;[0, 389607, 186391, 0, 0, 389079, 121405, 0, 0, 0, 0, 218882, 0, 0, 162108, 0, 0, 0, 0, 0, 0, 32528];[16217, 16094, 0, 16255, 251377, 0, 8047, 16204, 137328, 40579, 16271, 0, 8147, 97567, 16137, 243251, 8041, 0, 283933, 48672, 16162, 259718];[0, 500075, 375353, 0, 124831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124868, 124877, 124853, 125143, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 749961, 0, 0, 0, 0, 0, 0, 0, 750039];[0, 0, 0, 0, 0, 1500000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 246793, 0, 0, 0, 0, 0, 341447, 0, 0, 0, 911760, 0, 0, 0, 0];[67971, 67765, 68063, 68604, 67950, 67797, 68398, 67985, 68706, 68073, 68257, 67963, 68359, 68142, 68285, 68402, 68747, 68314, 68070, 67819, 67907, 68423];[0, 0, 341076, 0, 0, 0, 0, 0, 912696, 0, 0, 0, 246228, 0, 0, 0, 0, 0, 0, 0, 0, 0];[68046, 68206, 68214, 67988, 68079, 68292, 68278, 67927, 68291, 68598, 68067, 68407, 68086, 68330, 68335, 68315, 68180, 68030, 68306, 68270, 67906, 67849];[0, 125072, 0, 0, 125022, 0, 124853, 0, 0, 0, 0, 125310, 0, 0, 124877, 0, 249968, 125046, 124906, 125143, 249803, 0];[249875, 0, 0, 0, 124906, 0, 125046, 0, 0, 0, 0, 249803, 125072, 0, 124877, 0, 125143, 0, 249968, 0, 0, 125310];[28995, 14942, 11362, 44154, 29223, 29254, 11442, 11408, 8266, 64655, 111911, 58750, 179085, 132837, 11532, 29176, 11607, 35140, 11486, 398430, 28166, 238179];[30949, 11536, 264402, 132421, 19790, 158671, 75395, 14011, 43805, 19932, 493411, 31305, 11554, 31248, 20202, 31018, 19636, 11636, 11631, 11515, 5979, 49953];[19441, 104902, 112530, 104688, 144704, 54432, 11460, 31876, 41088, 20680, 206560, 11678, 11477, 5661, 19468, 105372, 19183, 332742, 73754, 44976, 11650, 11678]
Dependencies;isCandidateKey;false;false;false;false;false;false;false;false;false;false;false;false;false;false
